scope,label_source,feature,variant,k,space,dim,monkey,maze,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,name_H,name_S,n_trials_H,n_trials_S,half_rule,half_H,half_S,half_corr_rule_H,half_corr_rule_S,equal_n,stable_H,stable_S,r_HH,r_SS,r_HS,delta,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
publication,dendro,occupancy_bin,full,12,unith,12,Nielsen,2,Oct_22_g0,0.999896608767576,,,,2H,2S,44,25,stable_shared,12,12,9,9,True,True,True,0.8428892754634933,0.832563633429898,0.8678244950114269,-0.0300980405647312,0,20,4,8,,0
publication,dendro,occupancy_bin,no_origin,12,unith,11,Nielsen,2,Oct_22_g0,0.999896608767576,,,,2H,2S,44,25,stable_shared,12,12,9,9,True,True,True,0.5601231677246832,0.41155462199205106,0.5878133975994408,-0.10197450274107372,0,20,4,8,,0
publication,dendro,occupancy_bin,mean_removed,12,unith,12,Nielsen,2,Oct_22_g0,0.999896608767576,,,,2H,2S,44,25,stable_shared,12,12,9,9,True,True,True,0.33099947136335567,0.10898663391649563,0.3415656937305817,-0.12157264109065608,0,20,4,8,,0
