scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_four,dendro,occupancy,mean_removed,12,unith,Faure,1,0.3698098946651279,-0.028527111480300755,0.14701662016231662,0.013986013986013986,-0.274861040857479,0.30553249615195827,1000,1
top_four,dendro,occupancy,mean_removed,12,unith,Faure,2,0.14393713764385138,0.02371997292252042,0.08939719349302191,0.16283716283716285,-0.12591156141025597,0.21647928843040393,1000,3
top_four,dendro,occupancy,mean_removed,12,unith,Faure,3,-0.04839789132171722,0.003845592701310862,0.10168932510164833,0.6223776223776224,-0.17706659633561245,0.2107114397167638,1000,3
top_four,dendro,occupancy,mean_removed,12,unith,Faure,4,-0.18185764538236243,-0.001295015585721072,0.10765932339612168,0.08891108891108891,-0.19175997599135616,0.23956461761858527,1000,2
top_four,dendro,occupancy,mean_removed,12,unith,Faure,5,0.04686779632394558,-0.0055331891627043725,0.06858698689943088,0.4175824175824176,-0.12779377339719938,0.15233427593858545,1000,3
top_four,dendro,occupancy,mean_removed,12,unith,Faure,6,-0.027672219928025987,0.0032551395712000523,0.10399182511198965,0.7622377622377622,-0.17856698165497528,0.23060500909885565,1000,2
top_four,dendro,occupancy,mean_removed,12,unith,Nielsen,1,0.013846028888019599,0.003995879966710128,0.12329699574228925,0.945054945054945,-0.20969665972697582,0.26216305359749825,1000,2
top_four,dendro,occupancy,mean_removed,12,unith,Nielsen,2,0.0849722977359387,0.001956764025389038,0.08189187119579067,0.2937062937062937,-0.14411102155244274,0.17560724556959412,1000,3
top_four,dendro,occupancy,mean_removed,12,unith,Nielsen,3,0.06889525225167561,6.90248648909127e-05,0.08136330733062198,0.4145854145854146,-0.14718261577627614,0.15771390407847732,1000,3
top_four,dendro,occupancy,mean_removed,12,unith,Nielsen,4,0.1055107825161774,0.001067345005876831,0.0717683387456791,0.14085914085914086,-0.13419592089170443,0.15339654088066468,1000,4
top_four,dendro,occupancy,mean_removed,12,unith,Nielsen,5,0.04982719941102193,0.022653314111688923,0.13817595658853546,0.8521478521478522,-0.20995449200015176,0.345322218422989,1000,1
top_four,dendro,occupancy,mean_removed,12,unith,Nielsen,6,-0.12476952543676582,0.015931881889665697,0.1594163670405455,0.3876123876123876,-0.25227280451341577,0.37169175281589284,1000,1
