x,y,maze,label,session,trial_id,choice
0.13576996815390885,0.8679800902027637,4,1.0,june_16_g0,1,4
-1.0244600526057184,0.4655700520379469,6,1.0,june_16_g0,2,4
0.24623991176486015,-0.03986992419231683,2,1.0,june_16_g0,3,2
0.47548990533687174,0.40122005506418645,2,0.0,june_16_g0,4,4
-0.04982007993385196,-0.003599925898015499,3,0.0,june_16_g0,5,3
0.5946999019943178,0.8294400349259377,5,1.0,june_16_g0,6,2
-0.7349500607233495,-0.6646498948102817,6,1.0,june_16_g0,7,4
-1.0925800506956875,0.48780005099251866,5,0.0,june_16_g0,8,3
-0.5974000645801425,0.11223006865475327,1,0.0,june_16_g0,9,2
-1.235370046691969,-0.1088999209459871,4,1.0,june_16_g0,10,3
-0.024930080631747842,0.7756200374569744,5,1.0,june_16_g0,11,3
-0.18868007604032755,0.11457006854470819,6,1.0,june_16_g0,12,4
1.9479298640508205,0.6703200424090028,5,1.0,june_16_g0,13,3
0.8999298934359103,0.8750700327800587,5,1.0,june_16_g0,14,2
-0.3301600720733404,-0.12059992039576173,4,1.0,june_16_g0,15,3
-0.45330006862059236,0.26433006150182337,2,1.0,june_16_g0,16,4
0.05235991720110178,1.374660009285435,4,1.0,june_16_g0,18,4
-0.034100080374628305,1.0763100233161822,5,1.0,june_16_g0,19,3
1.0977398878894746,0.5217300493968651,5,1.0,june_16_g0,20,3
-0.2044000755995512,0.16839006601367146,6,1.0,june_16_g0,21,4
-0.7716300596948713,0.6036300455452874,2,1.0,june_16_g0,22,3
0.5147899042349309,0.6083100453251973,4,1.0,june_16_g0,23,1
-0.3602900712285191,1.5606900005368516,4,1.0,june_16_g0,24,2
-0.2782100609038025,0.333430239581503,6,1.0,june_16_g0,25,2
-0.08390000043436885,0.9090702125104144,2,1.0,june_16_g0,27,4
-0.8489399789832532,-1.1782096893293783,5,1.0,june_16_g0,29,3
-0.9000299775507301,0.783880218397826,1,0.0,june_16_g0,30,4
-0.36554999253712595,0.32524023996666074,4,1.0,june_16_g0,31,2
0.18464999203570187,-0.1731797365937382,5,1.0,june_16_g0,32,2
-0.49392998893745244,-0.09829974011518061,6,1.0,june_16_g0,33,3
-1.0480599734000862,1.3934501897310838,2,1.0,june_16_g0,34,4
-0.31052999407984316,0.7932402179576457,2,1.0,june_16_g0,35,4
-1.1358299709390849,0.5978502271464095,5,1.0,june_16_g0,37,3
-0.3393499932717532,-0.14626973785925657,6,1.0,june_16_g0,38,2
0.01827999670058489,0.24100024392828345,4,1.0,june_16_g0,39,3
-0.34196999319829047,0.6867702229646966,3,0.0,june_16_g0,41,2
0.09425999457016587,0.6069701242959127,4,1.0,june_16_g0,42,1
-0.04591000149957836,0.5356001276522875,6,1.0,june_16_g0,43,4
-0.04984000138938427,0.2934101390419528,5,1.0,june_16_g0,44,3
-0.5882499862927943,1.7488900705939159,4,1.0,june_16_g0,45,2
0.18464999203570187,-0.30094983300659806,4,1.0,june_16_g0,46,4
-0.12450999929569662,0.5449601272121072,6,1.0,june_16_g0,47,3
0.7413999764248729,0.35308013623580337,6,1.0,june_16_g0,48,4
-0.44545999029651284,0.12493014696519822,6,1.0,june_16_g0,49,1
-0.5856299863662571,0.04771015059668571,1,0.0,june_16_g0,50,2
-0.34196999319829047,0.03952015098184347,1,0.0,june_16_g0,51,3
-0.7965399804525077,0.6011201245710254,5,1.0,june_16_g0,52,1
-0.36947999242693186,0.2969201388768852,6,1.0,june_16_g0,53,3
0.16761999251320958,0.658450121874921,1,0.0,june_16_g0,54,1
-0.20834999694488943,-0.24595983559265733,4,0.0,june_16_g0,55,1
0.20036999159492552,0.38467013475019485,3,0.0,june_16_g0,59,4
-0.5921799861826003,-0.25414983520749956,3,0.0,june_16_g0,60,1
0.5082199829630554,1.1182601002510637,3,1.0,june_16_g0,61,3
-0.15093007148243487,-0.07248979841824621,2,1.0,june_16_g0,62,1
0.7673799027688801,-0.3392497858731076,4,1.0,june_16_g0,63,1
-0.33040006645023823,0.4235901782521978,6,1.0,june_16_g0,64,1
-0.2911000675521791,2.2698500914266333,4,1.0,june_16_g0,65,3
0.2787499164696783,1.3818201331887394,5,1.0,june_16_g0,66,2
0.35734991426579654,0.9781701521715149,6,0.0,june_16_g0,68,2
-0.7784200538881123,0.5008101746207103,6,1.0,june_16_g0,69,2
-0.18499007052741945,-0.4293397816363722,1,0.0,june_16_g0,70,4
0.1962199187837541,0.4200801784172654,1,0.0,june_16_g0,71,4
-0.23084006924182177,0.4364601776469499,1,0.0,june_16_g0,72,1
0.080939922016114,0.18842018931172788,6,1.0,june_16_g0,73,2
