scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,177,1,0.6565807327001356,0.5348710990502035
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,194,1,0.7665829809725159,0.5211416490486258
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,213,1,0.7112021857923497,0.48715846994535517
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,5,12,259,1,0.7318202694427434,0.5254133496631965
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,258,1,0.7615236051502146,0.4855793991416309
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,1295,6,0.6726429104612399,0.46438402564085507
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),1,36,194,1,0.7661495962600935,0.3340416489587761
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),2,36,177,1,0.6242876526458616,0.46573948439620083
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),3,36,194,1,0.7122093023255813,0.5266913319238901
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),4,36,213,1,0.6715163934426229,0.44781420765027324
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),5,36,259,1,0.6376173708920188,0.48290467442335167
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),6,36,258,1,0.6418454935622318,0.5096995708154507
all,Faure,per-maze,"State bigrams, K=6",Random forest,pooled,36,1295,6,0.7318938754310901,0.49487578827649253
all,Faure,per-maze,"State bigrams, K=6",Random forest,1,36,194,1,0.7807054823629409,0.4530386740331492
all,Faure,per-maze,"State bigrams, K=6",Random forest,2,36,177,1,0.6916383989145183,0.5189959294436906
all,Faure,per-maze,"State bigrams, K=6",Random forest,3,36,194,1,0.7575977801268499,0.5293340380549683
all,Faure,per-maze,"State bigrams, K=6",Random forest,4,36,213,1,0.7385928961748633,0.47431693989071044
all,Faure,per-maze,"State bigrams, K=6",Random forest,5,36,259,1,0.7098642580118392,0.5036742192284139
all,Faure,per-maze,"State bigrams, K=6",Random forest,6,36,258,1,0.7200643776824034,0.49201716738197426
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,1295,6,0.8389638472186178,0.47820536205651887
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),1,144,194,1,0.919889502762431,0.4086272843178921
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),2,144,177,1,0.7725407055630936,0.532293080054274
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),3,144,194,1,0.8890063424947146,0.5060782241014798
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),4,144,213,1,0.7984972677595629,0.4306010928961749
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),5,144,259,1,0.7944350887936313,0.514288630332721
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),6,144,258,1,0.8641630901287554,0.4755364806866953
all,Faure,per-maze,"State bigrams, K=12",Random forest,pooled,144,1295,6,0.8331741316791434,0.4762668436887434
all,Faure,per-maze,"State bigrams, K=12",Random forest,1,144,194,1,0.8851466213344665,0.4585635359116022
all,Faure,per-maze,"State bigrams, K=12",Random forest,2,144,177,1,0.7551221166892809,0.5511533242876526
all,Faure,per-maze,"State bigrams, K=12",Random forest,3,144,194,1,0.8358879492600423,0.4727801268498943
all,Faure,per-maze,"State bigrams, K=12",Random forest,4,144,213,1,0.8356557377049181,0.47349726775956286
all,Faure,per-maze,"State bigrams, K=12",Random forest,5,144,259,1,0.8154215145948153,0.4666258420085732
all,Faure,per-maze,"State bigrams, K=12",Random forest,6,144,258,1,0.8613733905579399,0.45278969957081544
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,1295,6,0.7038142848357269,0.4828025353272688
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,194,1,0.8738312792180196,0.5076498087547812
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,177,1,0.6165027137042063,0.4105834464043419
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,194,1,0.6927854122621564,0.4363107822410148
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,213,1,0.6648224043715847,0.49836065573770494
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,259,1,0.6940064298836497,0.5272504592774035
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,258,1,0.6862017167381974,0.4911587982832618
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,1295,6,0.9805855479887122,0.4816330349927911
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,1,25,194,1,0.9993093922651934,0.4972375690607735
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,177,1,0.9636533242876526,0.4197421981004071
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,3,25,194,1,0.9644556025369979,0.5110993657505285
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,213,1,0.9903005464480874,0.5032786885245902
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,5,25,259,1,0.9778271075729741,0.4733108797713819
