method,monkey,source,scope,variant,feature,maze,k,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm
block_means,Faure,dendro,publication,mean_removed,occupancy,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy,2,6,,0.40736024233830653,0.40485675697742984,0.474026325617013,0.5128622747950802,-0.08733580054817836,-0.710351117305776,0.4245754245754246,0,0.00635283326621669,0.13189059822941906,68,22,11,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,2,12,,0.435681151504294,-0.025166626126173385,0.2537019156974791,0.2599407699135065,-0.05156408011643249,-0.5597997082915543,0.5664335664335665,0,0.013130110016493956,0.11556667353465729,68,22,11,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy,4,6,,0.2709057151640834,0.05863249481192165,0.026096181346170463,0.008804284540573575,0.14731887204463048,0.33242784681823884,0.7582417582417582,0,0.06991228795412333,0.23285228608670278,13,96,6,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,4,12,,-0.06449929218912825,0.05064663447088476,0.080608306771788,0.051797761286685375,-0.07312936288835845,-0.7765937582589385,0.46053946053946054,0,0.047759629718104595,0.15566567632153852,13,96,6,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,5,6,,-0.14957005645269997,0.35623531276187714,-0.244895899625527,-0.12537946058138405,0.2884703082580441,1.805035936248578,0.058941058941058944,0,0.0060105521225783925,0.1564842840317652,19,130,9,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,5,12,,0.2528999132380779,0.2564089546841861,0.06243514823535026,0.13053797869208728,0.15816787049741327,1.2408984744435672,0.1938061938061938,0,0.02792354166524227,0.10495969776300516,19,130,9,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,6,6,,0.5186522860205467,0.0010052152671459348,0.0988977706517627,0.13383089330999925,0.14346441866296533,0.6190670025999739,0.5744255744255744,0,0.040458206261975375,0.16638944083335364,11,109,5,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy,6,12,,0.10257623002924983,0.040634196730485156,0.029912631279120406,0.019617965248875043,0.046839915115869775,-0.018303548573447764,0.981018981018981,0,0.04922401532708538,0.13025344247585563,11,109,5,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,2,6,,0.26109153140905633,0.21934699211221834,0.24805682347663668,0.3330608532738269,-0.05033957661459443,-0.30931889049909755,0.7402597402597403,0,0.010961029246357522,0.1981793150817305,68,22,11,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,2,12,,0.3545628247050035,0.026573504169341945,0.16494522904571035,0.2181613336143711,-0.0009851168928680099,-0.05634135342943517,0.962037962037962,0,0.006240178278949999,0.1282414200586669,68,22,11,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,4,6,,0.4109631729631022,0.1858507682867003,0.31000126561405505,0.18491053725828624,0.0509510691887306,-0.07398223295939907,0.932067932067932,0,0.06617176511916097,0.20573447598943623,13,96,6,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,4,12,,0.29325687937758116,0.08415815702687367,0.19185484478145856,0.0966821684366363,0.04443901159317998,0.027342683861057555,0.975024975024975,0,0.040582302445381545,0.14105086272424408,13,96,6,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,5,6,,0.22606796312015323,0.30511966226287224,-0.15642113758207749,-0.0556419025049957,0.37162533273504933,2.2531797731277736,0.029970029970029972,0,0.004145143671418752,0.16309403867650973,19,130,9,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,5,12,,0.3151415152870605,0.2014709845065708,-0.03447078879313333,0.008696059657774752,0.27119361446449497,2.3377693108603217,0.025974025974025976,0,0.010757398212613142,0.11140372792216988,19,130,9,12,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,6,6,,0.6953970773675444,0.16485550247367722,0.2317971567873397,0.15937894626848467,0.2345382383926986,1.5794661918897983,0.11888111888111888,0,0.025437125619327244,0.1323872038838554,11,109,5,6,2,0,100,1000
block_means,Faure,dendro,publication,mean_removed,occupancy_bin,6,12,,0.2862890105877153,0.04577785145307966,0.09222446264634002,0.0559622457777606,0.09194007680834716,0.4806641747820417,0.6443556443556444,0,0.03470356042445361,0.11907797457517524,11,109,5,12,2,0,100,1000
