scope,label_source,feature,variant,k,space,dim,monkey,maze,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,name_H,name_S,n_trials_H,n_trials_S,half_rule,half_H,half_S,half_corr_rule_H,half_corr_rule_S,equal_n,stable_H,stable_S,r_HH,r_SS,r_HS,delta,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.8719516532521967,0.8689422811488591,0.7873736223815571,0.08307334481897088,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.834666370109374,0.9192542002992345,0.8710153506945133,0.0059449345097909445,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.9560171215124603,0.9638031228083351,0.958007876666907,0.0019022454934907174,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,0.8972862555266687,0.9501912744105855,0.9175963745350764,0.006142390433550693,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.7835962004017223,0.8657984883559978,0.8638421137709997,-0.03914476939213962,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.689789082866295,0.8254901060899794,0.7830209057805544,-0.025381311302417164,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Nov_9_g0,0.957720588235294,0.9620655080213905,0.9217914438502673,0.593607305936073,4H,4S,34,39,stable_shared,17,17,9,9,True,True,True,0.8740146341048332,0.9233828319481662,0.873464090808687,0.025234642217812686,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Oct_21_g0,0.990039008080245,0.9988854834215659,0.976177208135971,0.6844106463878327,4H,4S,28,59,stable_shared,14,14,4,4,True,True,True,0.9613146447814493,0.9010041578711336,0.908467523059468,0.022691878266823506,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Oct_22_g0,0.999896608767576,1.0,1.0,0.8143459915611815,4H,4S,18,64,stable_shared,9,9,9,9,True,True,True,0.9085013173653478,0.8346752905158497,0.8785082237089128,-0.006919919768314076,0,20,4,8,,0
top_ten,svm,occupancy,full,6,unith,6,Nielsen,4,Oct_25_g0,0.969401041666667,0.97021484375,0.921875,0.5207547169811321,4H,4S,76,11,stable_shared,5,5,4,4,True,True,True,0.6099962213708452,0.8143536323072581,0.7573043314515009,-0.0451294046124493,0,20,4,8,,0
top_ten,svm,occupancy,no_origin,6,unith,5,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.7231979480316812,0.31652244056991374,0.15971152876131758,0.3601486655394799,0,20,4,8,,0
top_ten,svm,occupancy,no_origin,6,unith,5,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.678002295181604,0.856206048204679,0.7202808957547324,0.04682327593840907,0,20,4,8,,0
top_ten,svm,occupancy,no_origin,6,unith,5,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.641347648057623,0.6343043551710985,0.5389440692176191,0.0988819323967417,0,20,4,8,,0
top_ten,svm,occupancy,no_origin,6,unith,5,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,0.4518480867674106,0.01388970602198784,0.24575325462176556,-0.012884358227066323,0,20,4,8,,0
top_ten,svm,occupancy,no_origin,6,unith,5,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,-0.040546294556536404,0.48881162882147755,0.39050756550096477,-0.1663748983684942,0,20,4,8,,0
top_ten,svm,occupancy,no_origin,6,unith,5,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.6382831947907252,0.39740492727399446,0.6477817003154527,-0.12993763928309288,0,20,4,8,,0
