label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
svm,occupancy,full,top_ten,Nielsen,4,6,unith,6,10,10,Nov_18_g0;Nov_1_g0;Nov_3_g0;Nov_4_g0;Nov_6_g0;Nov_7_g0;Nov_9_g0;Oct_21_g0;Oct_22_g0;Oct_25_g0,352,390,stable_shared,12,12,8,8,0.8387133501291194,0.8866895385755399,0.8598600412858177,0.002841403066511927,10,10,0,185.283,-6.075980043715456e-06,0.012719895852903451,-0.024935071038409987,0.025817958027637748,0.8159203980099502,0.38308457711442784,0.22386024850240227,200,False,False,False,False,0,20,4,8,,0
svm,occupancy,no_origin,top_ten,Nielsen,4,6,unith,5,10,10,Nov_18_g0;Nov_1_g0;Nov_3_g0;Nov_4_g0;Nov_6_g0;Nov_7_g0;Nov_9_g0;Oct_21_g0;Oct_22_g0;Oct_25_g0,352,390,stable_shared,12,12,8,8,0.4812920006961656,0.46155076161156605,0.49408809287450123,-0.02266671172063539,10,10,0,185.283,0.0016585921941933682,0.05047400776111834,-0.07991448735931954,0.09920800138973368,0.6517412935323383,0.6616915422885572,-0.4819372384684554,200,False,False,False,False,0,20,4,8,,0
svm,occupancy,mean_removed,top_ten,Nielsen,4,6,unith,6,10,10,Nov_18_g0;Nov_1_g0;Nov_3_g0;Nov_4_g0;Nov_6_g0;Nov_7_g0;Nov_9_g0;Oct_21_g0;Oct_22_g0;Oct_25_g0,352,390,stable_shared,12,12,8,8,0.19418001695545453,0.31537922736787,0.14862992486813323,0.10614969729352905,10,10,0,185.283,0.009227250280973102,0.06999618470739942,-0.10983401658203382,0.16366657579737773,0.18407960199004975,0.0945273631840796,1.384681856842836,200,False,False,False,False,0,20,4,8,,0
