scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,5,6,2736,0.9221830849377659,0.5587416515554052,0.001785623511520899,0.009840777675776801
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,6,6,2747,0.9186671344560279,0.5847559476075915,0.004996304748166075,0.009216341866701375
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,5,6,2770,0.9308612494750732,0.5788268273873092,0.002611395910816279,0.013889616441171166
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,6,6,2781,0.9257220921155346,0.5828251366120218,0.005714999743808096,0.020861962252574737
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,5,6,6,2989,0.9374828184463846,0.5412836355495858,0.005410456946941293,0.008904567017656831
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,1,12,1105,nan,0.4917891867809314,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,2,12,1086,nan,0.5014732965009208,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,3,12,1247,nan,0.5036048689138577,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,4,12,1281,nan,0.4933836290951638,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),5,5,12,1489,nan,0.5036954246951,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),6,6,12,1500,nan,0.5102666666666666,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,2,12,2191,0.5946183637075739,0.5815779605509862,0.006467341723003903,0.026273408758536457
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,3,12,2352,0.5675102599179207,0.5445129850101783,0.008991353925597356,0.018701092778149953
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,4,12,2386,0.606416437949707,0.5974719269801237,0.002742147123520675,0.014339782278374982
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,5,12,2594,0.6326704277826231,0.6240022609240008,0.00730736859827624,0.0219261489697644
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,6,12,2605,0.6020678733031675,0.597627450980392,0.008310354037277163,0.030515623554846504
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,3,12,2333,0.6371038189629328,0.6292996377309226,0.005104894351204129,0.006204691190082671
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,4,12,2367,0.626618696115345,0.6189872380434829,0.0033843176779603562,0.016522928333386745
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,5,12,2575,0.6919877907602343,0.6865485011632264,0.00838860847610096,0.02248654865580985
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,6,12,2586,0.6728370165745856,0.6672688766114181,0.0045038710330091705,0.011781315968036733
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,4,12,2528,0.5924886394012296,0.5721077971988353,0.008053363769899626,0.028719267136223855
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,5,12,2736,0.5785393338909286,0.5606729488583211,0.006306443656440446,0.022482512922743485
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,6,12,2747,0.555023656776263,0.5400986367281475,0.005767642373010479,0.015132212072135824
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,5,12,2770,0.6156129859930408,0.6030465935727471,0.004987120995600594,0.016439890908944137
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,6,12,2781,0.5890620608899297,0.5782357533177205,0.0038802442456130756,0.013314237841462207
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),5,6,12,2989,0.5424182896798746,0.5278493396015222,0.004318411067302086,0.011673560823924874
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,1,12,1105,nan,0.4923021988101789,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,2,12,1086,nan,0.498158379373849,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,3,12,1247,nan,0.495915133555583,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,4,12,1281,nan,0.4974207780811232,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,5,5,12,1489,nan,0.49281428159053187,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,6,6,12,1500,nan,0.5102666666666666,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,2,12,2191,0.9571596126763499,0.5640338158212711,0.002239760505710477,0.01736262277332336
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,3,12,2352,0.9644585920235715,0.5535711045876619,0.00406289028750726,0.020832382942281753
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,4,12,2386,0.947005750597843,0.5874140324477837,0.0034611171491144505,0.010995053588689631
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,5,12,2594,0.9386638516542124,0.6248814078506331,0.004358642139196824,0.018982049822563477
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,6,12,2605,0.9398846153846154,0.6305173453996984,0.002630658547564117,0.017206194801658137
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,3,12,2333,0.9425223667557201,0.6415511407857679,0.003518854341719867,0.01846206303662673
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,4,12,2367,0.9397389491980109,0.61768473352569,0.003936354757138454,0.02796996334366894
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,5,12,2575,0.9280483985074091,0.6899525309606234,0.0024996105200418145,0.02375279343823658
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,6,12,2586,0.9334930939226519,0.6808029465930019,0.0037601307351454822,0.02009267632860596
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,4,12,2528,0.9508384525671917,0.5942743458617622,0.005055093101722223,0.031374906726063995
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,5,12,2736,0.9593380055720027,0.577927253750169,0.0009447976077142646,0.028673033971482745
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,6,12,2747,0.9488275862068966,0.6176639935846031,0.002266792955753099,0.021685603569440538
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,5,12,2770,0.9472453862805513,0.5947096296599208,0.006436822386896467,0.027119394422168614
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,6,12,2781,0.9445991412958626,0.5960046838407494,0.0027279547400672084,0.009972370174221337
allplus,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,5,6,12,2989,0.9629281956570406,0.5562614730244011,0.0014478455632091452,0.015785115615279094
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,1,6,1105,nan,0.4939404958461095,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,2,6,1086,nan,0.5012891344383057,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),3,3,6,1247,nan,0.5103564740502943,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),4,4,6,1281,nan,0.5010566985179408,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),5,5,6,1489,nan,0.4959370715162012,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,6,1500,nan,0.5162666666666668,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,2,6,2191,0.5648132755014458,0.5653729490096081,0.0018318466795088403,0.007302490051654866
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,3,6,2352,0.539332769687975,0.531986632170603,0.006209213790319631,0.02754455973568858
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,4,6,2386,0.5497412584201398,0.5431386678252639,0.005396554639273529,0.018429135725599833
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,5,6,2594,0.5775403486806718,0.5762596902169455,0.006003603346201151,0.022818307597527194
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,6,2605,0.5610633484162897,0.5556877828054299,0.005558169948653373,0.01811138800110971
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,3,6,2333,0.6037261988625371,0.6036110975734027,0.0066463492642465,0.029879274928239
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,4,6,2367,0.5314385558588982,0.5284933645589383,0.004703763770946031,0.009231468669492838
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,5,6,2575,0.6255014520232473,0.6131508286056,0.007415719401164096,0.031306652171672396
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,6,2586,0.585415285451197,0.5838471454880294,0.006184310554500969,0.023255713323253432
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),3,4,6,2528,0.5763793291252637,0.5768805320121922,0.0044762164453973526,0.016796300873523316
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),3,5,6,2736,0.5575363410802447,0.5515006330842107,0.005222041329001515,0.01868790680305917
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,6,2747,0.5478015904838278,0.5432822774659183,0.009624484924936914,0.02033766554916466
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),4,5,6,2770,0.5873882449962227,0.5864827627425476,0.006543871265751763,0.023188308306642307
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,6,2781,0.570145394223263,0.5669765807962529,0.007298595312884154,0.025405533443540285
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),5,6,6,2989,0.5431831766286098,0.5324110141034252,0.004032924561472809,0.013805998595619477
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,1,1,6,1105,nan,0.49807178237282806,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,2,2,6,1086,nan,0.494475138121547,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,3,3,6,1247,nan,0.5042397209532041,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,4,4,6,1281,nan,0.5069795729329173,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,5,5,6,1489,nan,0.49243432921988883,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,6,6,6,1500,nan,0.5097333333333333,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,1,2,6,2191,0.5701593918485371,0.5613876319758673,0.0018280434327700623,0.008276809535383758
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,1,3,6,2352,0.544755376704997,0.5194537478182933,0.004831598520130955,0.019855228102973573
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,1,4,6,2386,0.5561354428278247,0.5331256336077936,0.0032814317038844867,0.01699874840986104
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,1,5,6,2594,0.5828452391443739,0.5695462045953888,0.007180089374093753,0.028571627490231743
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,1,6,6,2605,0.5709309954751131,0.5649125188536953,0.0038976164133752308,0.015184095856173425
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,2,3,6,2333,0.6050144656568028,0.6026308444133324,0.007227094267443982,0.028461969784815896
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,2,4,6,2367,0.5430500386007133,0.5267433936712081,0.0029994558129283265,0.01702306329907921
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,2,5,6,2575,0.629004272584589,0.623507934799951,0.006618583403699622,0.02577706441093784
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,2,6,6,2586,0.6009686924493554,0.59495211786372,0.004371026780525409,0.01725131565833946
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,3,4,6,2528,0.5852980799508203,0.5650964344090141,0.0024532091560321464,0.012396472777666508
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,3,5,6,2736,0.5698115369431969,0.5621219604014039,0.003315788402767607,0.01824376023191187
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,3,6,6,2747,0.5657144480085539,0.5425624164661855,0.0046993031344295805,0.010744088295405194
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,4,5,6,2770,0.5998178025793104,0.5804738260121453,0.0011746342874223816,0.009498828940123891
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,4,6,6,2781,0.5895872365339578,0.5766206088992974,0.00553444589743583,0.023095531846770243
allplus,Faure,deg,"Codebook occupancy (binary), K=6",Random forest,5,6,6,2989,0.5464442578912021,0.5257295724199686,0.004484633915498547,0.015947782917045062
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),1,1,12,1105,nan,0.5035652042875488,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),2,2,12,1086,nan,0.4961325966850829,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),3,3,12,1247,nan,0.49368620611598135,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),4,4,12,1281,nan,0.48933648595943835,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),5,5,12,1489,nan,0.5035570469798658,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),6,6,12,1500,nan,0.5146666666666667,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),1,2,12,2191,0.6009335183287084,0.596396756747748,0.003829336570778495,0.01817758132966434
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),1,3,12,2352,0.556351896134433,0.5401717062125572,0.005794378091395774,0.015341511720372316
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),1,4,12,2386,0.5689818298063236,0.561376681820269,0.004391774993913432,0.010665626365037791
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),1,5,12,2594,0.5904893046747035,0.5806250360866566,0.009104443493092206,0.0323491191196794
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),1,6,12,2605,0.5827530165912519,0.569316742081448,0.005332750875102139,0.021744904152739247
