scope,label_source,feature,variant,k,space,dim,monkey,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,half_i,half_j,n_splits,min_trials,min_stable,seed,cell_i,cell_j,maze_i,strategy_i,maze_j,strategy_j,name_i,name_j,r,n_trials_i,n_trials_j,present_i,present_j,stable_i,stable_j,n_degenerate
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,3,3,0,4,0,3H,4H,0.2926564515676438,48,12,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,4,3,0,5,0,3H,5H,0.22509680926506262,48,18,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,5,3,0,6,0,3H,6H,0.25502427182577886,48,11,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,2,6,3,0,1,1,3H,1S,,48,0,True,False,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,7,3,0,2,1,3H,2S,0.26878305235062366,48,15,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,2,20,4,8,0,2,8,3,0,3,1,3H,3S,0.1845055796431987,48,4,True,True,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,9,3,0,4,1,3H,4S,0.23487542597785663,48,50,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,10,3,0,5,1,3H,5S,0.23772534913627563,48,72,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,11,3,0,6,1,3H,6S,0.21801377246582127,48,58,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,0,4,0,1,0,4H,1H,0.36059868480293705,12,43,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,1,4,0,2,0,4H,2H,0.40164485047010495,12,35,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,2,4,0,3,0,4H,3H,0.2926564515676438,12,48,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,3,4,0,4,0,4H,4H,0.32071942588863384,12,12,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,4,4,0,5,0,4H,5H,0.23623594895251876,12,18,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,5,4,0,6,0,4H,6H,0.3776019552133552,12,11,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,3,6,4,0,1,1,4H,1S,,12,0,True,False,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,7,4,0,2,1,4H,2S,0.25391360916761674,12,15,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,2,20,4,8,0,3,8,4,0,3,1,4H,3S,0.1530868736999341,12,4,True,True,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,9,4,0,4,1,4H,4S,0.3264059481669876,12,50,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,10,4,0,5,1,4H,5S,0.33775372964615313,12,72,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,3,11,4,0,6,1,4H,6S,0.27150969179071927,12,58,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,0,5,0,1,0,5H,1H,0.2835671236144553,18,43,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,1,5,0,2,0,5H,2H,0.19192777183115503,18,35,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,2,5,0,3,0,5H,3H,0.22509680926506262,18,48,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,3,5,0,4,0,5H,4H,0.23623594895251876,18,12,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,4,5,0,5,0,5H,5H,0.3138613086518943,18,18,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,5,5,0,6,0,5H,6H,0.14254215936154477,18,11,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,4,6,5,0,1,1,5H,1S,,18,0,True,False,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,7,5,0,2,1,5H,2S,0.22634621846519898,18,15,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,2,20,4,8,0,4,8,5,0,3,1,5H,3S,0.1289245477236896,18,4,True,True,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,9,5,0,4,1,5H,4S,0.19538400925771945,18,50,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,4,10,5,0,5,1,5H,5S,0.26677957157247467,18,72,True,True,True,True,0
