label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
dendro,occupancy_bin,full,top_four,Nielsen,4,6,unith,6,4,4,Nov_1_g0;Nov_3_g0;Nov_6_g0;Oct_22_g0,132,168,stable_shared,14,14,7,7,0.867158635137012,0.9102565690121593,0.8821877006636185,0.006519901410967144,4,4,0,81.311,0.002215140693321076,0.015956135607363028,-0.024578777915283036,0.037723194636081744,0.7661691542288557,0.3781094527363184,0.2697871730082074,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy_bin,no_origin,top_four,Nielsen,4,6,unith,5,4,4,Nov_1_g0;Nov_3_g0;Nov_6_g0;Oct_22_g0,132,168,stable_shared,14,14,7,7,0.5391684686191673,0.6842374681488003,0.5841963606585919,0.02750660772539193,4,4,0,81.311,0.006436175710605646,0.057009824475900264,-0.09450429045128082,0.1252983154458142,0.7064676616915423,0.3383084577114428,0.3695929992503902,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy_bin,mean_removed,top_four,Nielsen,4,6,unith,6,4,4,Nov_1_g0;Nov_3_g0;Nov_6_g0;Oct_22_g0,132,168,stable_shared,14,14,7,7,-0.13953917444340452,0.6087291951173684,0.26781400895655993,-0.03321899861957797,4,4,0,81.311,0.007717024541779147,0.09622129621387422,-0.16819830128959762,0.20618446469159826,0.6865671641791045,0.6368159203980099,-0.4254362056229972,200,False,False,False,False,0,20,4,8,,0
