scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,356,1,0.665296052631579,0.6202067669172933
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,348,1,0.6640360565789005,0.6158656072968254
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,379,1,0.5979888167388168,0.506962481962482
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,408,1,0.6483893123602769,0.6058259487704366
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),5,12,464,1,0.6035266457680251,0.5680250783699059
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),6,12,493,1,0.6288850750910868,0.5824113569714743
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,2448,6,0.6975613938936024,0.5587295695386886
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,356,1,0.6952302631578948,0.6049812030075188
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,348,1,0.7070714718352513,0.6163644137243025
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,379,1,0.6643668831168831,0.4592171717171717
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,408,1,0.6967604438818111,0.5767500740700837
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,5,12,464,1,0.6978056426332289,0.535423197492163
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,493,1,0.7184834044254865,0.5681707100328801
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,2448,6,0.6392197229217635,0.5731362869837087
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),1,36,356,1,0.6903195488721805,0.6487781954887217
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),2,36,348,1,0.6150995831403427,0.5423807318202871
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),3,36,379,1,0.6302083333333333,0.5418109668109669
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),4,36,408,1,0.6716506854849571,0.5801976997872169
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),5,36,464,1,0.6167711598746082,0.5786833855799373
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),6,36,493,1,0.6205622944992446,0.5532413578601262
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,pooled,36,2448,6,0.6999037984431651,0.5599928609551797
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,1,36,356,1,0.7241071428571428,0.5935150375939849
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,2,36,348,1,0.7193456728542417,0.6147789218655361
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,3,36,379,1,0.6937905844155845,0.5427308802308802
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,4,36,408,1,0.7141938481428609,0.6131252188434293
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,5,36,464,1,0.6751567398119123,0.5460815047021943
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,6,36,493,1,0.6848673687016795,0.4795054652092775
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,2448,6,0.7355047792869128,0.5551170562318626
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),1,144,356,1,0.765578007518797,0.5864661654135338
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),2,144,348,1,0.7175374995546371,0.5701179320910679
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),3,144,379,1,0.7308757215007216,0.4790584415584416
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),4,144,408,1,0.7423808818380155,0.5784738869286503
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),5,144,464,1,0.7159090909090908,0.5404388714733542
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),6,144,493,1,0.7427824802274949,0.5748467075446548
