label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
svm,bigram,full,top_ten,Nielsen,2,12,unith,144,10,8,Nov_1_g0;Nov_3_g0;Nov_4_g0;Nov_6_g0;Nov_7_g0;Nov_9_g0;Oct_21_g0;Oct_22_g0,422,106,stable_shared,10,5,8,4,0.46351645548830217,0.36158624715323107,0.31860254834173196,0.09394880297903463,8,8,0,99.544,0.02834197001986226,0.02777658846380842,-0.019372314046664094,0.08891127287521099,0.024875621890547265,0.024875621890547265,2.361947114011318,200,False,False,False,False,0,20,4,8,,0
svm,bigram,no_origin,top_ten,Nielsen,2,12,unith,121,10,8,Nov_1_g0;Nov_3_g0;Nov_4_g0;Nov_6_g0;Nov_7_g0;Nov_9_g0;Oct_21_g0;Oct_22_g0,422,106,stable_shared,10,5,8,4,0.32012133515231567,0.13387625479715973,0.1923687958397915,0.03462999913494619,8,8,0,99.544,0.029717742806545506,0.03141428490101254,-0.023216010860698563,0.0871709502391528,0.8905472636815921,0.4129353233830846,0.15637014638020139,200,False,False,False,False,80,20,4,8,,0
svm,bigram,mean_removed,top_ten,Nielsen,2,12,unith,144,10,8,Nov_1_g0;Nov_3_g0;Nov_4_g0;Nov_6_g0;Nov_7_g0;Nov_9_g0;Oct_21_g0;Oct_22_g0,422,106,stable_shared,10,5,8,4,0.12916375340423175,0.16285278576443812,0.05016469350327238,0.09584357608106256,8,8,0,99.544,0.023769257127104336,0.04057143878072003,-0.04166288016896975,0.11324988779997856,0.07462686567164178,0.06467661691542288,1.7764792454984042,200,False,False,False,False,0,20,4,8,,0
