scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_ten,svm,occupancy,full,12,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy,full,12,unith,Faure,2,0.003445742813974917,0.003590823709070387,0.017549159614924502,0.987012987012987,-0.028549832572479467,0.04003090841343737,1000,10
top_ten,svm,occupancy,full,12,unith,Faure,3,0.01052542146995128,0.006637549241960182,0.03947324243091149,0.9210789210789211,-0.061918521113791765,0.0932977137020372,1000,4
top_ten,svm,occupancy,full,12,unith,Faure,4,-0.01928948841371636,0.0045210582253328475,0.028226129478226978,0.38961038961038963,-0.04349412375531373,0.06722898244706356,1000,5
top_ten,svm,occupancy,full,12,unith,Faure,5,0.0005388928395162473,0.00833097408091134,0.025386071144976933,0.7502497502497503,-0.03715942040740885,0.06330280674904157,1000,8
top_ten,svm,occupancy,full,12,unith,Faure,6,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy,full,12,unith,Nielsen,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy,full,12,unith,Nielsen,2,0.05025652479574694,0.006424621844206884,0.020207796867185893,0.03396603396603397,-0.027676551766320407,0.05281969069133742,1000,8
top_ten,svm,occupancy,full,12,unith,Nielsen,3,0.03667630520178344,0.0028147129443470364,0.020596582640866747,0.1038961038961039,-0.03460149488128169,0.048763300666148146,1000,7
top_ten,svm,occupancy,full,12,unith,Nielsen,4,0.03613361525812109,0.001524951764001823,0.010733358373803549,0.000999000999000999,-0.018584076651883368,0.02393165894518662,1000,10
top_ten,svm,occupancy,full,12,unith,Nielsen,5,0.020499684830765807,0.006576903311488217,0.018384735029052423,0.4205794205794206,-0.02312662286931017,0.04921447345108019,1000,7
top_ten,svm,occupancy,full,12,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
