monkey,variant,maze,radius,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
Faure,no_origin,2,0.5,0.9934420349056262,0.990574833702712,0.9951348285044912,0.994726331568017,-0.0029221457320850464,-0.777039817781609,0.22377622377622378,0,-0.0003196783051026861,0.0033492072959815772,319,210,105,4,10,67,100,1000,
Faure,no_origin,3,0.5,0.9139005735447718,0.9285910487148306,0.9350527716359539,0.9319746316237656,-0.01226789050005861,-0.48406457265543185,0.6033966033966034,0,-0.00029415673649778426,0.024735819227332714,517,36,18,4,10,133,100,1000,
Faure,no_origin,4,0.5,0.975127984256628,0.9648481815804041,0.972276567541098,0.9721772370838535,-0.0022388193939596457,-0.2735900865287287,0.7792207792207793,0,0.0005542469890683552,0.010208945866665061,49,577,24,4,10,99,100,1000,
Faure,no_origin,5,0.5,0.9484176360366771,0.9323557860908547,0.9530670817723883,0.9545225949339663,-0.013408127289411542,-0.7888736427722972,0.3546453546453546,0,0.005340303371031762,0.02376607563482116,94,623,47,4,10,199,100,1000,
