monkey,variant,maze,radius,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
Nielsen,no_origin,2,0.5,0.9029326937146172,0.6500440994252977,0.5935264132725182,0.5290355727600752,0.21520740355366064,2.915786631481188,0.025974025974025976,0,0.014254841345485674,0.06891881595125265,552,111,55,4,10,327,100,1000,
Nielsen,no_origin,3,0.5,0.9470324259188293,0.8979708180411734,0.9509546079983031,0.9394344067875718,-0.022692885412936237,-1.4290138343312222,0.0919080919080919,0,0.001975551060137488,0.01726255959209698,681,72,36,4,10,336,100,1000,
Nielsen,no_origin,4,0.5,0.9711903571269516,0.924414805694887,0.43039705539322015,0.4387822407876582,0.51321293332048,8.15779011247463,0.000999000999000999,1,0.03330766539800007,0.058827851820877845,350,386,175,4,10,409,100,1000,
Nielsen,no_origin,5,0.5,0.8856332129849964,0.8956281789201043,0.9090604200341155,0.8820388502084353,-0.0049189391687251005,-0.21208984351130403,0.8101898101898102,0,0.003781634348635523,0.041023055952685905,80,787,40,4,10,381,100,1000,
