scope,label_source,feature,variant,k,space,dim,monkey,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,half_i,half_j,n_splits,min_trials,min_stable,seed,cell_i,cell_j,maze_i,strategy_i,maze_j,strategy_j,name_i,name_j,r,n_trials_i,n_trials_j,present_i,present_j,stable_i,stable_j,n_degenerate
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,0,1,0,1,0,1H,1H,0.5104549193778772,39,39,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,1,1,0,2,0,1H,2H,0.48027813641686007,39,37,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,2,1,0,3,0,1H,3H,0.5009412118315351,39,53,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,3,1,0,4,0,1H,4H,0.3666586113217763,39,8,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,0,4,1,0,5,0,1H,5H,,39,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,0,5,1,0,6,0,1H,6H,,39,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,0,6,1,0,1,1,1H,1S,,39,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,7,1,0,2,1,1H,2S,0.5685777652995336,39,25,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,8,1,0,3,1,1H,3S,0.6720600289291425,39,11,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,9,1,0,4,1,1H,4S,0.5518816370546104,39,65,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,10,1,0,5,1,1H,5S,0.5678865632890422,39,56,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,0,11,1,0,6,1,1H,6S,0.5482386301138591,39,66,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,0,2,0,1,0,2H,1H,0.48027813641686007,37,39,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,1,2,0,2,0,2H,2H,0.4902100137478863,37,37,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,2,2,0,3,0,2H,3H,0.5597933436397619,37,53,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,3,2,0,4,0,2H,4H,0.3788380340655114,37,8,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,1,4,2,0,5,0,2H,5H,,37,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,1,5,2,0,6,0,2H,6H,,37,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,1,6,2,0,1,1,2H,1S,,37,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,7,2,0,2,1,2H,2S,0.5836504976784391,37,25,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,8,2,0,3,1,2H,3S,0.5395257505581197,37,11,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,9,2,0,4,1,2H,4S,0.5471932700627534,37,65,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,10,2,0,5,1,2H,5S,0.5115337996455598,37,56,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,1,11,2,0,6,1,2H,6S,0.490137804314152,37,66,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,0,3,0,1,0,3H,1H,0.5009412118315351,53,39,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,1,3,0,2,0,3H,2H,0.5597933436397619,53,37,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,2,3,0,3,0,3H,3H,0.507297653073053,53,53,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,3,3,0,4,0,3H,4H,0.3391826775464969,53,8,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,2,4,3,0,5,0,3H,5H,,53,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,2,5,3,0,6,0,3H,6H,,53,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,2,6,3,0,1,1,3H,1S,,53,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,7,3,0,2,1,3H,2S,0.5500739141147748,53,25,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,8,3,0,3,1,3H,3S,0.6395588452700633,53,11,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,9,3,0,4,1,3H,4S,0.5245531788200943,53,65,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,10,3,0,5,1,3H,5S,0.5302054133923075,53,56,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,2,11,3,0,6,1,3H,6S,0.4389515760933289,53,66,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,0,4,0,1,0,4H,1H,0.3666586113217763,8,39,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,1,4,0,2,0,4H,2H,0.3788380340655114,8,37,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,2,4,0,3,0,4H,3H,0.3391826775464969,8,53,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,3,4,0,4,0,4H,4H,0.08270830250211424,8,8,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,3,4,4,0,5,0,4H,5H,,8,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,3,5,4,0,6,0,4H,6H,,8,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,,20,4,8,0,3,6,4,0,1,1,4H,1S,,8,0,True,False,True,False,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,7,4,0,2,1,4H,2S,0.3883548352994748,8,25,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,8,4,0,3,1,4H,3S,0.31439178961372016,8,11,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,9,4,0,4,1,4H,4S,0.35533010165123524,8,65,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,10,4,0,5,1,4H,5S,0.3365925307280289,8,56,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,4,4,20,4,8,0,3,11,4,0,6,1,4H,6S,0.2660111417654406,8,66,True,True,True,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,,4,20,4,8,0,4,0,5,0,1,0,5H,1H,,0,39,False,True,False,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,,4,20,4,8,0,4,1,5,0,2,0,5H,2H,,0,37,False,True,False,True,0
top_ten,svm,bigram,full,6,unith,36,Faure,june_09_09_g0,0.977531857813548,0.9802146210596914,0.9290744466800804,0.6304347826086957,,4,20,4,8,0,4,2,5,0,3,0,5H,3H,,0,53,False,True,False,True,0
