scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),4,144,111,1,0.85037284144427,0.4878335949764522
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),5,144,152,1,0.9289772727272727,0.5674242424242424
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),6,144,123,1,0.9497767857142857,0.4017857142857143
publication,Faure,per-maze,"State bigrams, K=12",Random forest,pooled,144,477,4,0.8421353787372113,0.5304029866639735
publication,Faure,per-maze,"State bigrams, K=12",Random forest,2,144,91,1,0.8544960474308301,0.6557971014492754
publication,Faure,per-maze,"State bigrams, K=12",Random forest,4,144,111,1,0.811715070643642,0.4874411302982732
publication,Faure,per-maze,"State bigrams, K=12",Random forest,5,144,152,1,0.8090909090909091,0.5257575757575758
publication,Faure,per-maze,"State bigrams, K=12",Random forest,6,144,123,1,0.9012784090909092,0.48214285714285715
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,477,4,0.7459544577084569,0.5109130353014392
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,91,1,0.7406949934123848,0.605072463768116
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,111,1,0.6964285714285714,0.5086342229199372
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,152,1,0.778219696969697,0.43712121212121213
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,123,1,0.7546672077922079,0.5344967532467533
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,477,4,0.9879080188849979,0.494569520846182
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,91,1,0.9738965744400527,0.5339262187088274
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,111,1,0.9903846153846154,0.5
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,5,25,152,1,0.9856060606060606,0.4734848484848485
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,6,25,123,1,0.9988839285714286,0.48660714285714285
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,477,4,0.9454734753713717,0.5361233173996857
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,91,1,0.912302371541502,0.4769433465085639
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),4,100,111,1,0.9515306122448979,0.49293563579277866
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),5,100,152,1,0.9348484848484848,0.5689393939393939
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),6,100,123,1,0.9776785714285714,0.578327922077922
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,477,4,0.978162785652275,0.497383413118647
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,2,100,91,1,0.9775197628458498,0.4492753623188406
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,4,100,111,1,0.9519230769230769,0.5
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,5,100,152,1,0.99375,0.4962121212121212
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,6,100,123,1,0.9830560064935066,0.5320616883116883
publication,Faure,across-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,660,1,0.5927974743664962,0.5687145531249127
publication,Faure,across-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,660,1,0.9361397479954181,0.5305925739669768
publication,Faure,across-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,660,1,0.6000230491995642,0.5505685469225826
publication,Faure,across-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,660,1,0.9572891347470176,0.5701813203699048
publication,Faure,across-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,660,1,0.574152068840276,0.5619674237979493
publication,Faure,across-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,660,1,0.5880444500321291,0.517922498812617
publication,Faure,across-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,660,1,0.5990556812784623,0.5675551085407761
publication,Faure,across-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,660,1,0.6715139831810689,0.5827955186768363
publication,Faure,across-maze,"State bigrams, K=6",Logistic (L2),pooled,36,660,1,0.6138385997262035,0.5802810605425641
publication,Faure,across-maze,"State bigrams, K=6",Random forest,pooled,36,660,1,0.6711053837342498,0.5845416701589696
publication,Faure,across-maze,"State bigrams, K=12",Logistic (L2),pooled,144,660,1,0.6835763976196463,0.5712290112591848
publication,Faure,across-maze,"State bigrams, K=12",Random forest,pooled,144,660,1,0.7659283938200206,0.578171709552147
publication,Faure,across-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,660,1,0.6162657502863689,0.567722739083061
publication,Faure,across-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,660,1,0.9134118403039702,0.5762579275277289
publication,Faure,across-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,660,1,0.6890104210320454,0.5781996479758612
publication,Faure,across-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,660,1,0.9481847009191742,0.5949627022043416
publication,Faure,across-maze,Maze identity (reference),Logistic (L2),pooled,6,660,1,0.8878132595758949,0.8878132595758949
publication,Faure,across-maze,Maze identity (reference),Random forest,pooled,6,660,1,0.8878132595758949,0.8878132595758949
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,608,4,0.6377969555726519,0.5469838150458574
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,127,1,0.6871177370030581,0.5807849133537207
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,155,1,0.6022659511031605,0.4443947525342874
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,159,1,0.6325989208633094,0.5557553956834532
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,167,1,0.6382164404223227,0.6081447963800906
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,608,4,0.9366003064112097,0.520553748157309
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,127,1,0.9573776758409787,0.48649337410805304
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,155,1,0.9441338700059629,0.46884317233154443
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,159,1,0.9748651079136691,0.5318345323741007
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,167,1,0.8773755656108597,0.583710407239819
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,608,4,0.6848762345816196,0.5187357089038603
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,127,1,0.7308868501529052,0.4367991845056065
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,155,1,0.6550760286225403,0.5520274299344067
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,159,1,0.7201438848920864,0.5129496402877698
