label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
dendro,occupancy,full,publication,Nielsen,2,12,unith,12,2,1,Oct_22_g0,44,25,stable_shared,12,12,9,9,0.8209266508374226,0.9219049598243876,0.8888237653809087,-0.017407960050003557,1,1,0,18.618,-0.0018141114812512244,0.021943910757571832,-0.037810916791683614,0.05014548787858379,0.4427860696517413,0.7562189054726368,-0.7106230398504338,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,no_origin,publication,Nielsen,2,12,unith,11,2,1,Oct_22_g0,44,25,stable_shared,12,12,9,9,0.5093729194157626,0.4117946133023179,0.5672439231049637,-0.1066601567459235,1,1,0,18.618,-0.0015947603082636078,0.09450144972739685,-0.15385910079979054,0.216121558871843,0.21890547263681592,0.9054726368159204,-1.1117860809621045,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,mean_removed,publication,Nielsen,2,12,unith,12,2,1,Oct_22_g0,44,25,stable_shared,12,12,9,9,0.014470947778520071,0.2170521667401509,0.26678092151563765,-0.15101936425630216,1,1,0,18.618,-0.011665096242949504,0.14293882383630493,-0.2625610501281777,0.2891009658102698,0.3333333333333333,0.8557213930348259,-0.974922447752492,200,False,False,False,False,0,20,4,8,,0
