label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
dendro,occupancy,full,publication,Nielsen,4,12,unith,12,2,2,Nov_3_g0;Oct_22_g0,65,102,stable_shared,15,15,14,14,0.9304373859494837,0.8997651067350249,0.899066599708237,0.016034646634017324,2,2,0,43.764,0.0008347989914739429,0.014275352548449085,-0.019518792214402284,0.036759427311554106,0.22885572139303484,0.13930348258706468,1.0647616295959526,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,no_origin,publication,Nielsen,4,12,unith,11,2,2,Nov_3_g0;Oct_22_g0,65,102,stable_shared,15,15,14,14,0.6734943261770883,0.44806561490904645,0.4140068280295133,0.1467731425135541,2,2,0,43.764,0.0007316828201600859,0.07881044413694895,-0.11285700062087581,0.17908108176078338,0.06467661691542288,0.05970149253731343,1.8530724105502783,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,mean_removed,publication,Nielsen,4,12,unith,12,2,2,Nov_3_g0;Oct_22_g0,65,102,stable_shared,15,15,14,14,0.21115403679402966,0.2806831129152531,0.0586233981403139,0.1872951767143275,2,2,0,43.764,-0.007334761489294658,0.1337624520901977,-0.22869890167434664,0.27164115046211507,0.12437810945273632,0.08955223880597014,1.45504164406601,200,False,False,False,False,0,20,4,8,,0
