scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,123,1,0.7882508116883117,0.5917207792207793,0.03999650383196858,0.1149084816950628
publication,Faure,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,477,4,0.7597378467079188,0.5198624098197812,0.0455736523864282,0.15106106875041958
publication,Faure,per-maze,"State bigrams, K=6",Logistic (L2),2,36,91,1,0.7466238471673254,0.6142951251646904,0.029560984504861852,0.0767902601418347
publication,Faure,per-maze,"State bigrams, K=6",Logistic (L2),4,36,111,1,0.7291993720565149,0.521585557299843,0.03927074375256537,0.10094896378984358
publication,Faure,per-maze,"State bigrams, K=6",Logistic (L2),5,36,152,1,0.7535984848484849,0.5159090909090909,0.04566875780190265,0.1538752923629788
publication,Faure,per-maze,"State bigrams, K=6",Logistic (L2),6,36,123,1,0.804586038961039,0.45332792207792205,0.03954737468577826,0.2313916161402508
publication,Faure,per-maze,"State bigrams, K=6",Random forest,pooled,36,477,4,0.7638211446783683,0.4836582605589696,0.049917366384986735,0.11417357023019109
publication,Faure,per-maze,"State bigrams, K=6",Random forest,2,36,91,1,0.7503293807641633,0.5513833992094861,0.032909207322894964,0.14974652031945213
publication,Faure,per-maze,"State bigrams, K=6",Random forest,4,36,111,1,0.7092817896389325,0.42346938775510207,0.05511025996541991,0.05807835713815462
publication,Faure,per-maze,"State bigrams, K=6",Random forest,5,36,152,1,0.7901515151515152,0.5280303030303031,0.0404050251142893,0.11685237585811915
publication,Faure,per-maze,"State bigrams, K=6",Random forest,6,36,123,1,0.7904829545454546,0.4330357142857143,0.016036691003620658,0.07203143880088256
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,477,4,0.9097731427006372,0.53348180042631,0.046966110409213696,0.14892402724308063
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),2,144,91,1,0.8960803689064558,0.7104743083003953,0.028098106936025317,0.04910340606700054
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),4,144,111,1,0.85037284144427,0.4878335949764522,0.041599100749940145,0.12600473396843526
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),5,144,152,1,0.9289772727272727,0.5674242424242424,0.02432508984509216,0.13557879863878317
publication,Faure,per-maze,"State bigrams, K=12",Logistic (L2),6,144,123,1,0.9497767857142857,0.4017857142857143,0.019794626582511788,0.04218453400422245
publication,Faure,per-maze,"State bigrams, K=12",Random forest,pooled,144,477,4,0.8421353787372113,0.5304029866639735,0.05275838514752798,0.10243689182077098
publication,Faure,per-maze,"State bigrams, K=12",Random forest,2,144,91,1,0.8544960474308301,0.6557971014492754,0.04677671256136016,0.1260593021210646
