label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
dendro,occupancy,full,top_four,Nielsen,2,6,unith,6,4,3,Nov_1_g0;Nov_6_g0;Oct_22_g0,129,50,stable_shared,7,7,5,5,0.7619013610385306,0.7193087490462724,0.5925088882262987,0.14809616681610283,3,3,0,42.363,0.003976913360247031,0.036747377681218184,-0.051389396925793925,0.09162859578321511,0.009950248756218905,0.009950248756218905,3.921892187956477,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,no_origin,top_four,Nielsen,2,6,unith,5,4,3,Nov_1_g0;Nov_6_g0;Oct_22_g0,129,50,stable_shared,7,7,5,5,0.3045368110710856,0.6436815098325693,0.37849427481668835,0.09561488563513915,3,3,0,42.363,0.01067225866287786,0.08884074941326792,-0.1372502985051,0.20139760377383834,0.35323383084577115,0.17412935323383086,0.9561223597645108,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,mean_removed,top_four,Nielsen,2,6,unith,6,4,3,Nov_1_g0;Nov_6_g0;Oct_22_g0,129,50,stable_shared,7,7,5,5,0.03173692389370323,0.6585832661810154,0.11608101489636764,0.22907908014099165,3,3,0,42.363,0.017711650896158126,0.11193595770348298,-0.19145764920395178,0.21497466763121423,0.04975124378109453,0.024875621890547265,1.8882889250364332,200,False,False,False,False,0,20,4,8,,0
