label_source,feature,variant,scope,monkey,maze,k,space,dim,n_sessions_in_scope,n_sessions_used,session_names,census_H,census_S,half_rule,half_H_median,half_S_median,half_corr_rule_H_median,half_corr_rule_S_median,r_HH,r_SS,r_HS,delta_obs,n_sessions_both,n_strata,n_sessions_unexchangeable,n_perm_distinct_log10,null_mean,null_sd,null_p025,null_p975,p_two_sided,p_one_sided_greater,z_perm,n_perm,thin_H,thin_S,skipped_H,skipped_S,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
dendro,occupancy,full,top_four,Nielsen,2,12,unith,12,4,3,Nov_1_g0;Nov_6_g0;Oct_22_g0,129,50,stable_shared,7,7,5,5,0.7712922829689237,0.6338998828148569,0.6438790524268003,0.058717030465089914,3,3,0,42.363,0.0022002841772456945,0.029913904206848287,-0.0502038286547091,0.07005095590937875,0.07960199004975124,0.05970149253731343,1.8893136080480482,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,no_origin,top_four,Nielsen,2,12,unith,11,4,3,Nov_1_g0;Nov_6_g0;Oct_22_g0,129,50,stable_shared,7,7,5,5,0.3547358153722675,0.4229176876018334,0.46388002063165173,-0.07505326914460125,3,3,0,42.363,0.0063372469091472405,0.06654180243459701,-0.11566513294935475,0.14422852654373344,0.208955223880597,0.8905472636815921,-1.2231486535662461,200,False,False,False,False,0,20,4,8,,0
dendro,occupancy,mean_removed,top_four,Nielsen,2,12,unith,12,4,3,Nov_1_g0;Nov_6_g0;Oct_22_g0,129,50,stable_shared,7,7,5,5,-0.026097617119424082,0.4663248044246753,0.1676604510456178,0.052453142607007786,3,3,0,42.363,0.013973880908060114,0.0839343974993621,-0.16160282672873427,0.19878272647342515,0.6069651741293532,0.29850746268656714,0.45844448575734537,200,False,False,False,False,0,20,4,8,,0
