scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,6,6,376,0.93147795318454,0.5337650058734206,0.011082114653214594,0.0651997702171067
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,5,6,389,0.9349291773367479,0.5812259923175416,0.010175364048385139,0.04042540524595634
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,6,6,385,0.9366776315789473,0.58747009569378,0.011353791893165344,0.07704106259266122
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,5,6,6,422,0.9313183727564751,0.4931149897791855,0.005657147277568155,0.01550329981440554
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,1,12,130,nan,0.523076923076923,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,2,12,159,nan,0.5054113924050634,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,3,12,167,nan,0.5055364314400459,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,4,12,176,nan,0.5215909090909091,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),5,5,12,213,nan,0.5070446129430435,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),6,6,12,209,nan,0.4946703296703297,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,2,12,289,0.6396226415094339,0.5850991775520078,0.010761710028059887,0.026635638568822877
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,3,12,297,0.5498790879778903,0.47966374942422835,0.009975198575654345,0.05397888160176157
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,4,12,306,0.611680506993007,0.5574737762237763,0.013278437999820328,0.0298689568386774
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,5,12,343,0.6281554712892741,0.5816901408450704,0.024734043685170667,0.0775324307712098
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,6,12,339,0.6118467059256534,0.5640964298859036,0.020593402117344655,0.06449035374609338
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,3,12,326,0.6335960155161375,0.5721010808571536,0.007158765494176963,0.045652732857701446
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,4,12,335,0.6449444325328759,0.6322362778730704,0.023116427819866604,0.06665736495589518
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,5,12,372,0.7310213482150765,0.6846930640446451,0.02161312608171096,0.05531638042927574
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,6,12,368,0.7163679997592609,0.6921850079744816,0.012979532803045967,0.0571578278526455
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,4,12,343,0.6264544774088188,0.5924060968971148,0.017233467786278853,0.03843358747887175
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,5,12,380,0.597684911866408,0.5458097888729583,0.01687733267687867,0.0484039752405455
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,6,12,376,0.5963455863392833,0.5685184654614217,0.022243929766290506,0.0890738918148594
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,5,12,389,0.6522487195902689,0.6172908664105847,0.020509353228546606,0.03444403330851605
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,6,12,385,0.6772577751196172,0.6167763157894737,0.018186420007289934,0.06568310720723486
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),5,6,12,422,0.5819518386234472,0.5194307792528696,0.026863414160033093,0.031041539191353457
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,1,12,130,nan,0.46923076923076923,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,2,12,159,nan,0.5196202531645568,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,3,12,167,nan,0.4933017785427424,nan,nan
